Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,58,O+,4,Ground,58,O-,4,28700.6933505461,2.09873931836316E-9,35474629.9899442,35445929.2965937,0.449388311005999,3.17084059351621E-9,0,"qQ7,52(58)",v=0 58  7 51 - v=0 58  7 52
AsymmetricTop,Ground,14,E+,2,Ground,14,E-,1,28933.0420168284,1.5970338289905E-7,2234264.19443982,2205331.15242299,0.165025924105712,4.81279986504224E-9,0,"qQ2,13(14)",v=0 14  2 12 - v=0 14  2 13
AsymmetricTop,Ground,7,O+,1,Ground,7,O-,1,29757.3276319429,1.19346364102928E-7,600672.036546036,570914.708914093,0.0897683389674757,5.50649239684857E-9,0,"qQ1,7(7)",v=0  7  1  6 - v=0  7  1  7
AsymmetricTop,Ground,49,E+,4,Ground,49,E-,3,30586.8998533003,1.04019525153834E-8,25443632.2051599,25413045.3053066,0.394013395737479,3.97688937006326E-9,0,"qQ6,44(49)",v=0 49  6 43 - v=0 49  6 44
AsymmetricTop,Ground,22,E+,1,Ground,21,E+,2,30942.8702329053,2.19809355086589E-9,4749488.47485671,4718545.6046238,0.00296913224158164,6.82590357435589E-11,0,"oR2,19(21)",v=0 22  0 22 - v=0 21  2 19
AsymmetricTop,Ground,31,E+,3,Ground,31,E-,2,31129.6995214149,8.67600739545472E-8,10374439.2678936,10343309.5683722,0.284752948230511,4.7611712191822E-9,0,"qQ4,28(31)",v=0 31  4 27 - v=0 31  4 28
AsymmetricTop,Ground,40,O+,3,Ground,40,O-,3,31583.1489650644,3.6394142414262E-8,17077019.2610956,17045436.1121305,0.339056997166548,4.60484813924863E-9,0,"qQ5,36(40)",v=0 40  5 35 - v=0 40  5 36
AsymmetricTop,Ground,22,E+,3,Ground,23,E+,2,33769.9074312253,3.04231219909469E-9,5639758.15068152,5605988.24325029,0.00397743276776633,1.18861519474748E-10,0,"sP2,21(23)",v=0 22  4 18 - v=0 23  2 21
AsymmetricTop,Ground,14,E+,1,Ground,13,E+,2,34248.4462693476,7.18634727036898E-9,1993524.54497817,1959276.09870882,0.00509732390308049,2.4656316069914E-10,0,"oR2,11(13)",v=0 14  0 14 - v=0 13  2 11
AsymmetricTop,Ground,59,O+,4,Ground,59,O-,4,35114.185542658,2.51640567213857E-9,36629377.9314483,36594263.7459057,0.432780817588032,5.49832205355769E-9,0,"qQ7,53(59)",v=0 59  7 52 - v=0 59  7 53
AsymmetricTop,Ground,23,O+,2,Ground,23,O-,2,35686.3294488564,1.80453703629786E-7,5786592.68777044,5750906.35832158,0.216249800933738,7.30171426067507E-9,0,"qQ3,21(23)",v=0 23  3 20 - v=0 23  3 21
AsymmetricTop,Ground,15,E+,2,Ground,15,E-,1,36658.3458536677,2.24060020460756E-7,2529316.75430426,2492658.40845059,0.151103813309102,8.3848183260676E-9,0,"qQ2,14(15)",v=0 15  2 13 - v=0 15  2 14
AsymmetricTop,Ground,30,O+,3,Ground,31,O+,2,36956.331438439,2.19622186656845E-9,10161106.1853475,10124149.8539091,0.00494051838429217,1.42748179586367E-10,0,"sP3,28(31)",v=0 30  5 25 - v=0 31  3 28
AsymmetricTop,Ground,2,O-,1,Ground,1,O-,1,37460.2,1.14141091633459E-6,103151.02,65690.82,0.5,1.83557278057454E-7,0,"qR1,1(1)",v=0  2  1  2 - v=0  1  1  1
AsymmetricTop,Ground,21,E+,1,Ground,20,E+,2,37475.9095165404,3.83253327342774E-9,4341630.18066482,4304154.27114828,0.00330462772345122,1.412446364822E-10,0,"oR2,18(20)",v=0 21  0 21 - v=0 20  2 18
AsymmetricTop,Ground,50,E+,4,Ground,50,E-,3,37501.9670925662,1.28215628588118E-8,26422646.5504852,26385144.5833926,0.377639711133568,6.88620205955805E-9,0,"qQ6,45(50)",v=0 50  6 44 - v=0 50  6 45
AsymmetricTop,Ground,8,O+,1,Ground,8,O-,1,38222.713342245,1.70000066923681E-7,758640.141544542,720417.428202297,0.0794307381501874,9.11098960155224E-9,0,"qQ1,8(8)",v=0  8  1  7 - v=0  8  1  8
AsymmetricTop,Ground,2,E+,1,Ground,1,E+,1,38506.3144711067,1.6197651610292E-6,57768.5144711067,19262.2,0.666602492299198,2.65799477154417E-7,0,"qR0,1(1)",v=0  2  0  2 - v=0  1  0  1
AsymmetricTop,Ground,32,E+,3,Ground,32,E-,2,38557.6525945552,1.13862586479103E-7,11001693.7924246,10963136.1398301,0.269140480373922,8.28817206096304E-9,0,"qQ4,29(32)",v=0 32  4 28 - v=0 32  4 29
AsymmetricTop,Ground,41,O+,3,Ground,41,O-,3,38863.4341223091,4.61973106075368E-8,17880213.1983803,17841349.764258,0.323024997928643,7.97706067542E-9,0,"qQ5,37(41)",v=0 41  5 36 - v=0 41  5 37
AsymmetricTop,Ground,7,E+,2,Ground,8,E+,1,39454.7732686345,4.10256705725688E-9,729162.400637499,689707.627368865,0.00179039259369648,2.55986465159192E-10,0,"sP0,8(8)",v=0  7  2  5 - v=0  8  0  8
AsymmetricTop,Ground,2,O+,1,Ground,1,O+,1,39588.6,1.27436644791084E-6,106343.62,66755.02,0.5,2.16656520959295E-7,0,"qR1,0(1)",v=0  2  1  1 - v=0  1  1  0
AsymmetricTop,Ground,15,E+,1,Ground,14,E+,2,40415.0192277916,9.6319228175617E-9,2274679.21366761,2234264.19443982,0.00512934981100785,3.81408464707636E-10,0,"oR2,12(14)",v=0 15  0 15 - v=0 14  2 12
AsymmetricTop,Ground,14,O+,2,Ground,15,O+,1,40840.0554039706,5.19455635882742E-9,2450829.27802544,2409989.22262147,0.00278634041422868,2.2853697667548E-10,0,"sP1,14(15)",v=0 14  3 11 - v=0 15  1 14
AsymmetricTop,Ground,19,O+,1,Ground,18,O+,2,41388.6902006348,1.01456621361171E-8,3774427.70806355,3733039.01786291,0.00654809352120886,4.15677625538329E-10,0,"oR3,15(18)",v=0 19  1 18 - v=0 18  3 15
AsymmetricTop,Ground,20,E+,1,Ground,19,E+,2,42435.3974195709,5.80630439497485E-9,3951892.09417032,3909456.69675075,0.00366719701581654,2.38669289937129E-10,0,"oR2,17(19)",v=0 20  0 20 - v=0 19  2 17
