name,smiles,formula,frequency,catalog_frequency,catalog_intensity,deviation,intensity,uncertainty,S,peak_id,experiment,uline,composition,v_qnos,r_qnos,fit,ustate_energy,lstate_energy,interference,weighting,source,public,velocity,discharge,magnet,multiple,final
"cyanopenta-2,4-diyne-2,2-diyl",,c6hn,7307.417384546471,7307.4333,-2.7656,0.015915453528577928,6.50585499306781,0.0,0.0,0,6000,False,[],[],"N'=4, J'=5 - N''=4 4   3, J''=4",{},0.3031497376935346,0.0594,False,0.0,Catalog,True,0.0,False,False,"[hepta-1,2,3,4,5-pentaene-6-yne, 7,307.4336]",False
Artifact,,,7363.280248752249,7363.28125,0.0,0.001001247751446499,37.38595983262756,0.0,0.0,0,6000,False,[],[],,{},0.0,0.0,False,0.0,Artifact,False,0.0,False,False,[],True
(Z)-pent-2-en-4-ynenitrile,,c5h3n,7364.18,7364.1493,-2.6055,-0.030700000000251748,7.97,0.0001,0.0,0,6000,False,[],[],"N'=3, J'=2 - N''=4     3, J''=3",{},1.1575415798158606,0.9119,False,0.0,Catalog,True,0.0,False,False,[],True
"cyanoprop-1,2-dien-1,3-diyl",,c4hn,7383.6794357967365,7383.8889,-5.5022,0.20946420326345105,9.7621933013073,0.0058,0.0,0,6000,False,[],[],"N'=4, J'=4 - N''=4 5   4, J''=3",{},1.7935000219972177,1.5472,False,0.0,Catalog,True,0.0,False,False,"[hepta-1,2-dien-4,6-diyne, 7,383.5346]",False
3-phenylprop-2-ynenitrile,,c9h5n,7420.974444911012,7421.1693,-2.1781,0.1948550889874241,6.881319196917441,0.0004,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=8     6, J''=6",{},1.1611435622866804,0.9136,False,0.0,Catalog,True,0.0,False,False,[],True
"(2E)-penta-2,4-dienenitrile (anti)",,c4h5n,7439.837933078589,7439.8534,-2.3101,0.015466921410734358,8.561262026420543,0.0007,0.0,0,6000,False,[],[],"N'=2, J'=2 - N''=3     1, J''=1",{},0.3724667967777895,0.1243,False,0.0,Catalog,True,0.0,False,False,"[(2Z)-penta-2,4-dienenitrile (anti), 7,439.8534]",False
"buta-1,3-diynylbenzene",,c10h6,7447.767014385935,7447.7863,-3.1251,0.019285614064756373,10.306481167373718,0.0005,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=6, J''=6",{},1.1650314098388692,0.9166,False,0.0,Catalog,True,0.0,False,False,"[buta_1,3_diynylbenzene, 7,447.7868]",False
umol-1999,,cxhy,7503.634707310053,7503.803,-3.7015,0.16829268994661106,6.431272979183787,0.0009,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=6, J''=6",{},1.1441999258240179,0.8939,False,0.0,Catalog,True,0.0,False,False,[],True
3-phenylprop-2-ynenitrile,,c9h5n,7586.630628705646,7586.6401,-2.1031,0.009471294353716075,31.949124361309103,0.0003,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=8     6, J''=6",{},1.0135630740550516,0.7605,False,0.0,Catalog,True,0.0,False,False,[],True
"buta-1,3-diynylbenzene",,c10h6,7614.044450250012,7614.0504,-3.05,0.005949749987848918,60.17163326827828,0.0003,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=6, J''=6",{},1.0171773832469126,0.7632,False,0.0,Catalog,True,0.0,False,False,"[buta_1,3_diynylbenzene, 7,614.0515]",False
